Product SKU	Product Name	Product Description	Model
33172	EXPO LOW ODOR FINE	EXPO LOW ODOR FINE	
62170	Duracell AAA NiMH Battery 4Pack DX2400B	Duracell AAA NiMH Battery, 4/Pack (DX2400B4N001)	DX2400B4N001
62171	DURACELL ION RECHA	DURACELL ION RECHA	
62171	Duracell AA NiMH Battery, rechargeable, 4/Pack (DX1500B4N001)	Duracell AA NiMH Battery, rechargeable, 4/Pack (DX1500B4N001)	DX1500B4N001
62171	Duracell AA NiMH Battery rechargeable 4	Duracell AA NiMH Battery, rechargeable, 4/Pack (DX1500B4N001)	DX1500B4N001
69092	Brother LC1032PKS Black High Yield Ink Cartridge, 2/Pack	Brother LC1032PKS Black High Yield Ink Cartridge, 2/Pack	LC1032PKS
69092	Brother LC1032PKS Black High Yield Ink	Brother LC1032PKS Black High Yield Ink Cartridge, 2/Pack	LC1032PKS
102400	CHARM ULTR STRNG 1	Charmin Ultra Strong Mega Toilet Paper, 2-ply, White, 220 Sheets/Roll, 18 Rolls/Case (11055/15704)	11055/15704
122374	HAMMERMILL 20/92 1	Hammermill Copy Plus 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 5000 Sheets/Carton (105007)	105007CT/27061
122408	HAMMERMILL 20/92 1	Hammermill Copy Plus 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream (105007)	105007/27062
125328	Sharpie Permanent Marker, Fine Tip, Black, 12/Pack (30001)	Sharpie Permanent Marker, Fine Tip, Black, 12/Pack (30001)	30001
126465	STPLS FLLR RNFRCD	Staples Wide Ruled Filler Paper, 8" x 10.5", White, 100 Sheets/Pack (ST23904G)	ST23904G
126465	Staples Wide Ruled Filler Paper, 8" x 10.5", White, 100 Sheets/Pack (ST23904G)	Staples Wide Ruled Filler Paper, 8" x 10.5", White, 100 Sheets/Pack (ST23904G)	ST23904G
134708	Glad Zipper Sandwich Bags, 50 Bags/Box (57263)	Glad Zipper Sandwich Bags, 50 Bags/Box (57263)	57263
147220	Brother TN-221 Black Standard Yield Toner Cartridge   (TN221BK)	Brother TN-221 Black Standard Yield Toner Cartridge (TN221BK)	TN221BK
166769	COLOR CODE 3/4IN D	Avery Laser/Inkjet Color-Coding Labels, 3/4" Dia, Dark Blue, 1,008 Labels/Pack (5469)	13955/5469
211540	Scotch Magic Invisible Clear Tape With Dispenser, 0.75" x 18 yds., 1" Core, Transparent, 6 Rolls/Pack (6122)		
220061	BATTERY ELECTRNC D	Duracell 2032 3V Lithium Coin Battery, 4/Pack (DL2032B4PK05)	DL2032B4PK05
265574	AIRHEADS XTREMES B	Airheads Xtremes Rainbow Berry  Bites, 6 oz (AHXBITES12)	AHXBITES12
300053	#10 SEC WHT 20LB G	Mead Security Tinted #10 Business Envelopes, 4-1/8" x 9-1/2", White, 40/Pack (75214)	75214
300525	CRAYOLA 12CT COLOR	Crayola Colored Pencils, Assorted Colors, 12/Box (68-4012)	68-4012
300525	Crayola Colored Pencils, Assorted Colors, 12/Box (68-4012)	Crayola Colored Pencils, Assorted Colors, 12/Box (68-4012)	68-4012
304155	HEAVY DUTY 20X20X2	24" x 20" x 20" Heavy Duty Shipping Boxes (ST55958)	ST55958
319320	SOUR PATCH KIDS 3.	Sour Patch Kids Assorted Gummy Candy, 3.5 oz, 12/Box (SPK12)	SPK12
319324	SOUR PATCH WATERME	Cadbury Adams Sour Patch Watermelon, 3.5 oz. Theater Box, 12 Packs/Order	SPW12
324568	Master Lock Combination Padlock (1530DCM)	Master Lock Combination Padlock (1530DCM)	Q1530DCM
369657	CLOROX DISINFCT WI	Clorox Disinfecting Wipes Value Pack, Fresh Scent and Crisp Lemon Scent, 35 Wipes/Container, 3/Pack (CLO 30112)	CLO 30112
374177	$200 VISA + $6.95	$200 VISA + $6.95	
380981	SPEC ORDER SOFTWAR	SPEC ORDER SOFTWAR	
384143	Staples Mechanical Pencil, 0.5mm, #2 Soft Lead, Dozen (10942-CC)	Staples Mechanical Pencil, 0.5mm, #2 Soft Lead, Dozen (10942-CC)	
390664	Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 12 Rolls/Case (10060)	Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 12 Rolls/Case (10060)	10060
395705	POSTIT 3X3 CANARY	Post-it Notes, 3" x 3", Canary Collection, 50 Sheet/Pad, 4 Pads/Pack (5400)	5400
421175	STPLS COMP POLY WR	Staples® Poly Composition Notebook, 7.5" x 9.75", Wide Ruled, 80 Sheets, Color chosen at random (ST54890)	ST54890C
421222	PPM ERASERMATE BP	Paper Mate Eraser Mate Erasable Ballpoint Pen, Medium Point, Black Ink, 5/Pack (3163558PP)	316-35
481034	Sharpie Permanent Marker, Ultra Fine Tip, Assorted, 12/Pack (37175PP)	Sharpie Permanent Marker, Ultra Fine Tip, Assorted, 12/Pack (37175PP)	37175PP
482898	GLAD DS TRASH BAGS	Glad 13 Gallon Trash Bag, 8.5"x8.5", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)	CLO 78526
482898	Glad 13 Gallon Trash Bag, 8.5"x8.5", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)	Glad 13 Gallon Trash Bag, 8.5"x8.5", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)	CLO 78526
483636	EXPO CHISEL LO STA	Expo Tank Dry Erase Marker, Chisel Tip, Assorted Colors, Starter Set/Kit (80653)	80653
485949	Scotch Foam Double-Sided Mounting Tape, 1" x 12.5 yds., Gray (4011-LONG)	Scotch Foam Double-Sided Mounting Tape, 1" x 12.5 yds., Gray (4011-LONG)	4011-LONG
485949	SCOTCH INT/EXT MNT	Scotch Foam Double-Sided Mounting Tape, 1" x 12.5 yds., Gray (4011-LONG)	4011-LONG
485999	FELLOWES FOOTREST	Fellowes Standard Footrest, Graphite (48121)	48121
485999	Fellowes Standard Footrests, Graphite (48121)	Fellowes Standard Footrest, Graphite (48121)	48121
486110	5-TAB INSERT POLY	5-TAB INSERT POLY	
487264	BROTHER 12MM BK/SL	Brother P-touch M-931 Label Maker Tape, 1/2" x 26-2/10', Black on Silver (M-931)	M931
491831	8-TAB INSERT POLY	8-TAB INSERT POLY	
503573	COPPERTOP 9 VOLT B	Duracell Coppertop 9V Alkaline Battery, 4/Pack (MN16RT4Z)	MN16RT4Z
505711	TICONDEROGA YELLOW	Ticonderoga The World's Best Pencil Wooden Pencil, 2.2mm, #2 Soft Lead, 24/Pack (X13924X)	X13924X
517212	DYMO BLACK ON CLEA	DYMO LetraTag 16952 Label Maker Tape, 1/2" x 13', Black on Clear (16952)	16952
596837	PRISMACOLOR 24CT P	PRISMACOLOR 24CT P	
616319	CLOROX DSNFCT WIPE	CloroxPro Disinfecting Wipes, Fresh Scent, 75 Wipes/Container (15949)	15949
616319	CloroxPro Disinfecting Wipes, Fresh Scent, 75 Count (15949)	CloroxPro Disinfecting Wipes, Fresh Scent, 75 Wipes/Container (15949)	15949
616321	CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)	CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)	15948
616321	CLOROX DSNFCT WIPE	CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)	15948
616321	CloroxPro Clorox Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)	CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)	15948
648822	Staples 2" 3-Ring Better Binder, D-Ring, Black (ST55871-CC)	Staples 2" 3-Ring Better Binder, D-Ring, Black (ST55871-CC)	ST55871-CC
658961	Staples 1-Subject Composition Notebooks, 3.25" x 4.5", College Ruled, 80 Sheets, Assorted Colors, 2/Pack (ST17501C)	Staples 1-Subject Composition Notebooks, 3.25" x 4.5", College Ruled, 80 Sheets, Assorted Colors, 2/Pack (ST17501C)	ST17501C
712654	BioTuf 6064 Gallon Compostable Industri	BioTuf 60-64 Gallon Compostable Industrial Trash Bag, 47" x 60", Low Density, 1 Mil, Green, 5 Rolls (Y9460YE R01)	Y9460YE R01
742293	16X12X10 RECTANGLE	16 " x 12 " x 10 " Shipping Box, 32 ECT, Brown (10023)	ST55961
742295	24X16X10 LARGE REC	24" x 10" x 16" Shipping Boxes (ST55963)	ST55963
750834	SCOTCH HD TAPE 18P	Scotch Heavy Duty Packing Tape, 1.88" x 54.6 yds., Clear, 18/Pack (385018CP)	385018CP
777587	Staples Personal Folding Table, 25.5"L x 17.8"W, Gray (79143)	Staples® 25.5" x 17.8" Heavy Duty Folding Table, White Granite (79143)	79143
784551	Logitech M325S Wireless Ambidextrous Optical USB Mouse, Black (910-006825)	Logitech M325S Wireless Ambidextrous Optical USB Mouse, Black (910-006825)	910-007523
812375	Scott Essential Recycled Coreless Toilet Paper, 2-Ply, White, 1000 Sheets/Roll, 36 Rolls/Case (04007)	Scott Essential Recycled Coreless Toilet Paper, 2-Ply, White, 1000 Sheets/Roll, 36 Rolls/Case (04007)	4007
865670	Green Mountain Dark Magic Coffee Keurig	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061
865670	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061
866681	Scotch-Brite Non-Scratch Dishwand Refill, Blue, 2/Pack (483-12)	Scotch-Brite Non-Scratch Dishwand Refill, Blue, 2/Pack (483-12)	483-12
897518	SCOTCH SHIPPING TA	Scotch Heavy Duty Packing Tape, 1.88" x 43.7 yds., Clear, 6/Pack (3850-40-6)	3850-40-6
901974	EVIAN 1LITER 12PK	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000
901988	9X12 CLEAR CLASP E	Staples #10 1/2 Kraft Catalog Envelope, 9" x 12", Kraft, 10/Pack (SPL901988)	SPL901988
912462	STPLS COMP ASST CO	Staples 1-Subject Composition Notebook, 7.5" x 9.75", Wide Ruled, 100 Sheets, Color chosen at random (ST55077C)	ST55077C
919350	Staples 1-Subject Composition Notebook, 7.5" x 9.75", College Ruled, 100 Sheets, Black (ST55064C)	Staples 1-Subject Composition Notebook, 7.5" x 9.75", College Ruled, 100 Sheets, Black (ST55064C)	ST55064C
927192	Sony Headphones, Black (MDRZX110/BLK)	Sony Headphones, Black (MDRZX110/BLK)	MDRZX110/BLK
927192	SONY MDRZX110/BLAC	Sony Headphones, Black (MDRZX110/BLK)	MDRZX110/BLK
952621	Brother LC103 Black High Yield Ink Cartridge (LC103BKS)	Brother LC103 Black High Yield Ink Cartridge (LC103BKS)	LC103BKS
1306463	Staples 3" 3-Ring Non-View Binder, Red (ST26589-CC)		
1508051	STYLE EDGE INST PO	STYLE EDGE INST PO	
1635472	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 48/Box (81911/15171)	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 48/Box (81911/15171)	5000356566
1635472	KCUP GM DK MAGIC B	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 48/Box (81911/15171)	5000356566
1666504	KCUP CAFE BUSTELO	Cafe Bustelo 100% Colombian Coffee Keurig® K-Cup® Pods, Medium Roast, 24/Box (6107)	5000330301
1668032	Lysol Mold & Mildew Remover, 1 Quart, Trigger Spray Bottle (1920078915)	Lysol Mold & Mildew Remover, 1 Quart, Trigger Spray Bottle (1920078915)	1920078915
1669041	SPLS KRAFT PAD MAI	6.75 x 9 Self-Sealing Bubble Mailer (56563)	ST56563
1989257	12X9X9 RECTANGLE B	12" x 9" x 9" Shipping Boxes (ST55968)	ST55968
1990399	HP 65 Black Standard Yield Ink Cartridge (N9K02AN#140)	HP 65 Black Standard Yield Ink Cartridge, Prints Up to 120 Pages (N9K02AN#140)	N9K02AN#140
2056103	PRISMA 8CT MAGNA I	PRISMA 8CT MAGNA I	
2087610	HASBRO GRAB & GO G	Hasbro® Grab & Go Game, Assorted (B1004)	B1004
2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570
2091512	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570
2097860	FIVE STAR ADV STAY	Five Star 2-Pocket Fastener Folder, Assorted Colors (34030)	34030
2097860	Five Star 2-Pocket Fastener Folder, Assorted Colors (34030)	Five Star 2-Pocket Fastener Folder, Assorted Colors (34030)	34030
2244739	BROTHER P-TOUCH PT	Brother P-Touch PTM95 Portable Label Maker	PTM95
2400385	Staples Plus Membership	Staples Plus Membership	CLUBMEM.COM
2440104	CloroxPro Tilex Disinfecting Instant Mo	CloroxPro Tilex Disinfecting Instant Mold and Mildew Remover Spray, 32 Fluid Ounces, Pack of 9 (35600)	35600CT
2518072	KCUP DUNKIN ORIG 2	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 22/Box (400845)	5000380509
2548675	RB WAVE STANDARD D	Rocketbook Wave 1-Subject Smart Notebook, 8.5" x 9.5", Dotted, 40 Sheets, Blue (WAV-S-K-A)	WAV-S-K-A
2638592	Sharpie Magnum Tank Permanent Marker, Chisel Tip, Black, 12/Pack (44001A)	Sharpie Magnum Tank Permanent Marker, Chisel Tip, Black, 12/Pack (44001A)	44001A
2646682	Dunkin Original Blend Coffee Keurig KCu	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 88/Carton (400845)	400845
2646682	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 88/Carton (400845)	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 88/Carton (400845)	400845
2711216	DURACELL 2450 3 VO	Duracell 2450 Lithium Battery (DL2450BPK)	DL2450BPK
2724231	Honeywell Fire & Waterproof Safe Chest with Carry Handle (1533)	Honeywell Fire & Waterproof Safe Chest with Carry Handle (1533)	1533
2724258	HP 64XL Black High Yield Ink Cartridge (N9J92AN#140), print up to 600 pages	HP 64XL Black High Yield Ink Cartridge, Prints Up to 600 Pages (N9J92AN#140)	N9J92AN#140
2724259	HP 64XL Tri-Color High Yield Ink Cartridge (N9J91AN#140), print up to 415 pages	HP 64XL Tri-Color High Yield Ink Cartridge, Prints Up to 415 Pages (N9J91AN#140)	N9J91AN#140
2759018	MONOPOLY CLASSIC W	Hasbro Monopoly New Edition Classic Board Game (HG-C1009)	C1009
2773034	12 INCH BEVELED WO	Staples 12" Wooden Standard Imperial Scale Ruler, Wooden (51881-CC)	ST51881-CC
2837194	Smead ETYJ Color Coding Labels 34 x 1 1	Smead ETYJ Color Coding Labels, 3/4" x 1 1/2", Light Blue with White Numerals, 500/Roll (68318)	68318
2841782	Kennedy International Simplify Open Lid Storage Bin, Chocolate (25091-CHOCO-ST)	Kennedy International Simplify Open Lid Storage Bin, Chocolate (25091-CHOCO-ST)	25091-CHOCO-ST
2841782	WOVEN STRAP LG ESP	Kennedy International Simplify Open Lid Storage Bin, Chocolate (25091-CHOCO-ST)	25091-CHOCO-ST
2847075	BOUNTY SAS DOUBLE	Bounty Select-A-Size Double Roll Paper Towels, 2-ply, 82 Sheets/Roll, 12 Rolls/Pack (66541/06130)	57053/61305
2855093	FIVESTAR SPORTS PO	Five Star Sports 3-Hole Punched 4-Pocket Folder, Assorted Colors (33176)	33176KBF
24297267	Staples 3-Hole Punched 2-Pocket Plastic Portfolio Folder, Red (ST52803-CC)	Staples 3-Hole Punched 2-Pocket Plastic Portfolio Folder, Red (ST52803-CC)	52803
24297346	HI-CHEW ORIG MIX 3	HI-CHEW ORIG MIX 3	
24330742	Scotch-Brite Heavy Duty Dishwand, Green/Yellow (650-4)	Scotch-Brite Heavy Duty Dishwand, Green/Yellow (650-4)	650-4
24337466	BUTTER COOKIE TIN	BUTTER COOKIE TIN	
24339497	Brother TN-223 Black Standard Yield Toner Cartridge, Print Up to 1,400 Pages (TN223BK)	Brother TN-223 Black Standard Yield Toner Cartridge, Print Up to 1,400 Pages (TN223BK)	TN223BK
24339497	Brother TN-223 Black Standard Yield Toner Cartridge, Print Up to 1,400 Pages   (TN223BK)	Brother TN-223 Black Standard Yield Toner Cartridge, Print Up to 1,400 Pages (TN223BK)	TN223BK
24339497	Brother TN223 Black Standard Yield Tone	Brother TN-223 Black Standard Yield Toner Cartridge, Print Up to 1,400 Pages (TN223BK)	TN223BK
24339498	Brother TN-227 Black High Yield Toner Cartridge, Print Up to 3,000 Pages (TN227BK)	Brother TN-227 Black High Yield Toner Cartridge, Print Up to 3,000 Pages (TN227BK)	TN227BK
24339498	BROTHER TN227 HI-Y	Brother TN-227 Black High Yield Toner Cartridge, Print Up to 3,000 Pages (TN227BK)	TN227BK
