Product SKU	Product Name	Product Description	Model	Category	Type
33172	Expo Low Odor Fine Tip Dry Erase Marker	Expo Low Odor Fine Tip Dry Erase Marker, Black		Office Supplies	Business
62170	Duracell AAA NiMH Battery 4Pack DX2400B	Duracell AAA NiMH Battery, 4/Pack (DX2400B4N001)	DX2400B4N001	Inventory	Business
62171	Duracell Ion Speed 4000 AA/AAA Battery Charger	Duracell Ion Speed 4000 AA/AAA NiMH Battery Charger		Inventory	Business
69092	Brother LC1032PKS Black High Yield Ink Cartridge, 2/Pack	Brother LC1032PKS Black High Yield Ink Cartridge, 2/Pack	LC1032PKS	Office Supplies	Business
102400	Charmin Ultra Strong Mega Toilet Paper, 18 Rolls	Charmin Ultra Strong Mega Toilet Paper, 2-ply, White, 220 Sheets/Roll, 18 Rolls/Case (11055/15704)	11055/15704	Inventory	Personal
122374	Hammermill Copy Plus Paper, 5000 Sheets	Hammermill Copy Plus 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 5000 Sheets/Carton (105007)	105007CT/27061	Office Supplies	Business
122408	Hammermill Copy Plus Paper, 500 Sheets	Hammermill Copy Plus 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream (105007)	105007/27062	Office Supplies	Business
125328	Sharpie Permanent Marker, Fine Tip, Black, 12/Pack (30001)	Sharpie Permanent Marker, Fine Tip, Black, 12/Pack (30001)	30001	Office Supplies	Business
126465	Staples Wide Ruled Filler Paper, 100 Sheets	Staples Wide Ruled Filler Paper, 8" x 10.5", White, 100 Sheets/Pack (ST23904G)	ST23904G	Office Supplies	Business
134708	Glad Zipper Sandwich Bags, 50 Bags/Box (57263)	Glad Zipper Sandwich Bags, 50 Bags/Box (57263)	57263	Inventory	Personal
147220	Brother TN-221 Black Standard Yield Toner Cartridge (TN221BK)	Brother TN-221 Black Standard Yield Toner Cartridge (TN221BK)	TN221BK	Office Supplies	Business
166769	Avery Color-Coding Labels, Dark Blue	Avery Laser/Inkjet Color-Coding Labels, 3/4" Dia, Dark Blue, 1,008 Labels/Pack (5469)	13955/5469	Office Supplies	Business
211540	Scotch Magic Invisible Clear Tape With Dispenser, 0.75" x 18 yds., 1" Core, Transparent, 6 Rolls/Pack (6122)	Scotch Magic Invisible Clear Tape With Dispenser, 0.75" x 18 yds., 1" Core, Transparent, 6 Rolls/Pack (6122)		Office Supplies	Business
220061	Duracell 2032 3V Lithium Coin Battery, 4/Pack	Duracell 2032 3V Lithium Coin Battery, 4/Pack (DL2032B4PK05)	DL2032B4PK05	Inventory	Business
265574	Airheads Xtremes Rainbow Berry Bites, 6 oz	Airheads Xtremes Rainbow Berry Bites, 6 oz (AHXBITES12)	AHXBITES12	Inventory	Personal
300053	Mead Security Tinted #10 Business Envelopes, 40/Pack	Mead Security Tinted #10 Business Envelopes, 4-1/8" x 9-1/2", White, 40/Pack (75214)	75214	Office Supplies	Business
300525	Crayola Colored Pencils, 12/Box	Crayola Colored Pencils, Assorted Colors, 12/Box (68-4012)	68-4012	Office Supplies	Personal
304155	24" x 20" x 20" Heavy Duty Shipping Boxes	24" x 20" x 20" Heavy Duty Shipping Boxes (ST55958)	ST55958	Inventory	Business
319320	Sour Patch Kids Assorted Gummy Candy, 3.5 oz	Sour Patch Kids Assorted Gummy Candy, 3.5 oz, 12/Box (SPK12)	SPK12	Inventory	Personal
319324	Cadbury Adams Sour Patch Watermelon, 3.5 oz	Cadbury Adams Sour Patch Watermelon, 3.5 oz. Theater Box, 12 Packs/Order	SPW12	Inventory	Personal
324568	Master Lock Combination Padlock (1530DCM)	Master Lock Combination Padlock (1530DCM)	Q1530DCM	Inventory	Business
369657	Clorox Disinfecting Wipes Value Pack, 3/Pack	Clorox Disinfecting Wipes Value Pack, Fresh Scent and Crisp Lemon Scent, 35 Wipes/Container, 3/Pack (CLO 30112)	CLO 30112	Inventory	Business
374177	$200 Visa Gift Card	$200 Visa Gift Card with $6.95 Purchase Fee		Inventory	Personal
380981	Special Order Software	Special Order Software		Office Supplies	Business
384143	Staples Mechanical Pencil, 0.5mm, #2 Soft Lead, Dozen (10942-CC)	Staples Mechanical Pencil, 0.5mm, #2 Soft Lead, Dozen (10942-CC)		Office Supplies	Business
390664	Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 12 Rolls/Case (10060)	Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 12 Rolls/Case (10060)	10060	Inventory	Business
395705	Post-it Notes, 3" x 3", Canary, 4 Pads/Pack	Post-it Notes, 3" x 3", Canary Collection, 50 Sheet/Pad, 4 Pads/Pack (5400)	5400	Office Supplies	Business
421175	Staples Poly Composition Notebook, Wide Ruled	Staples® Poly Composition Notebook, 7.5" x 9.75", Wide Ruled, 80 Sheets, Color chosen at random (ST54890)	ST54890C	Office Supplies	Business
421222	Paper Mate Eraser Mate Erasable Ballpoint Pen, 5/Pack	Paper Mate Eraser Mate Erasable Ballpoint Pen, Medium Point, Black Ink, 5/Pack (3163558PP)	316-35	Office Supplies	Business
481034	Sharpie Permanent Marker, Ultra Fine Tip, Assorted, 12/Pack (37175PP)	Sharpie Permanent Marker, Ultra Fine Tip, Assorted, 12/Pack (37175PP)	37175PP	Office Supplies	Business
482898	Glad 13 Gallon Trash Bag, 8.5"x8.5", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)	Glad 13 Gallon Trash Bag, 8.5"x8.5", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)	CLO 78526	Inventory	Business
483636	Expo Tank Dry Erase Marker Starter Set	Expo Tank Dry Erase Marker, Chisel Tip, Assorted Colors, Starter Set/Kit (80653)	80653	Office Supplies	Business
485949	Scotch Foam Double-Sided Mounting Tape, 1" x 12.5 yds., Gray (4011-LONG)	Scotch Foam Double-Sided Mounting Tape, 1" x 12.5 yds., Gray (4011-LONG)	4011-LONG	Office Supplies	Business
485999	Fellowes Standard Footrest, Graphite	Fellowes Standard Footrest, Graphite (48121)	48121	Office Supplies	Business
486110	5-Tab Insertable Poly Dividers	5-Tab Insertable Poly Dividers		Office Supplies	Business
487264	Brother P-touch M-931 Label Maker Tape	Brother P-touch M-931 Label Maker Tape, 1/2" x 26-2/10', Black on Silver (M-931)	M931	Office Supplies	Business
491831	8-Tab Insertable Poly Dividers	8-Tab Insertable Poly Dividers		Office Supplies	Business
503573	Duracell Coppertop 9V Alkaline Battery, 4/Pack	Duracell Coppertop 9V Alkaline Battery, 4/Pack (MN16RT4Z)	MN16RT4Z	Inventory	Business
