Product SKU	Product Name	Product Description	Model	Category	Type	Subcategory
220061	"Duracell 2032 3V Lithium Coin Battery, 4/Pack"	"Duracell 2032 3V Lithium Coin Battery, 4/Pack (DL2032B4PK05)"	DL2032B4PK05	Inventory	Business	Batteries
2711216	Duracell 2450 3V Lithium Coin Battery	Duracell 2450 Lithium Battery (DL2450BPK)	DL2450BPK	Inventory	Business	Batteries
62170	Duracell AAA NiMH Battery 4Pack DX2400B	"Duracell AAA NiMH Battery, 4/Pack (DX2400B4N001)"	DX2400B4N001	Inventory	Business	Batteries
503573	"Duracell Coppertop 9V Alkaline Battery, 4/Pack"	"Duracell Coppertop 9V Alkaline Battery, 4/Pack (MN16RT4Z)"	MN16RT4Z	Inventory	Business	Batteries
62171	Duracell Ion Speed 4000 AA/AAA Battery Charger	Duracell Ion Speed 4000 AA/AAA NiMH Battery Charger		Inventory	Business	Batteries
24596385	"Hershey's Milk Chocolate Bar, 1.55 oz"	"Hershey's Milk Chocolate Bar, 1.55 oz"		Inventory	Personal	Candy
24297346	"Hi-Chew Original Mix, 3.53 oz"	"Hi-Chew Original Mix, 3.53 oz"		Inventory	Personal	Candy
616319	"CloroxPro Disinfecting Wipes, Fresh Scent, 75 Wipes"	"CloroxPro Disinfecting Wipes, Fresh Scent, 75 Wipes/Container (15949)"	15949	Inventory	Business	Cleaning Supplies
616321	"CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes"	"CloroxPro Disinfecting Wipes, Lemon Fresh, 75 Wipes/Container (15948)"	15948	Inventory	Business	Cleaning Supplies
2440104	"CloroxPro Tilex Disinfecting Instant Mold and Mildew Remover Spray, 9/Pack"	"CloroxPro Tilex Disinfecting Instant Mold and Mildew Remover Spray, 32 Fluid Ounces, Pack of 9 (35600)"	35600CT	Inventory	Business	Cleaning Supplies
24330742	"Scotch-Brite Heavy Duty Dishwand, Green/Yellow (650-4)"	"Scotch-Brite Heavy Duty Dishwand, Green/Yellow (650-4)"	650-4	Inventory	Personal	Cleaning Supplies
866681	"Scotch-Brite Non-Scratch Dishwand Refill, Blue, 2/Pack (483-12)"	"Scotch-Brite Non-Scratch Dishwand Refill, Blue, 2/Pack (483-12)"	483-12	Inventory	Personal	Cleaning Supplies
