Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
9982935093	2023-10-29T19:53:49	SALES	WEB	3025391875	Delivered	378.7	0	0					24401670	Brother TN-223 Black/Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,400 Pages, 4/Pack (TN2234PK)	Brother TN-223 Black/Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 4/Pack (TN2234PK)	TN2234PK	259.49	1	1	205.58	Delivered	brother-tn-223-black-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-400-pages-4-pack-tn2234pk/product_24401670	False	False	True
9982935093	2023-10-29T19:53:49	SALES	WEB	3025391875	Delivered	378.7	0	0					24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,800 Pages, 3/Pack (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK	218.49	1	1	173.12	Delivered	brother-tn-431-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-800-pages-3-pack-tn4313pk/product_24401678	False	False	True
9916060248	2023-11-02T23:06:16	SALES	WEB	3025391875	Delivered	451.14	0	0					24401679	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,400 Pages, 3/Pack  (TN2213PK)	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack  (TN2213PK)	TN2213PK	0	1	1	0	Delivered	brother-tn-221-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-400-pages-3-pack-tn2213pk/product_24401679	False	False	True
9916060248	2023-11-02T23:06:16	SALES	WEB	3025391875	Delivered	451.14	0	0					24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,800 Pages, 3/Pack (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK	218.49	1	1	178.1	Delivered	brother-tn-431-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-800-pages-3-pack-tn4313pk/product_24401678	False	False	True
9916060248	2023-11-02T23:06:16	SALES	WEB	3025391875	Delivered	451.14	0	0					24401679	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,400 Pages, 3/Pack (TN2213PK)	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack  (TN2213PK)	TN2213PK	167.49	2	2	273.04	Delivered	brother-tn-221-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-400-pages-3-pack-tn2213pk/product_24401679	False	False	True
9916833513	2023-12-01T20:00:15	SALES	ALL	3025391875	Enrolled	52.25	0	0					2400385	Staples Plus Membership	Staples Plus Membership	CLUBMEM.COM	49	1	1	52.25	Enrolled	Business-Rewards-Plus-Membership/product_2400385	False	False	True
9918675236	2024-01-31T23:19:29	SALES	WEB	3025391875	Delivered	28.39	0	0					24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,800 Pages, 3/Pack (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK	219.49	4	4	28.39	Delivered	brother-tn-431-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-800-pages-3-pack-tn4313pk/product_24401678	False	False	True
9919673619	2024-03-03T17:18:48	SALES	WEB	3025391875	Cancelled	0	0	0					24528368	Dawn Ultra Platinum Powerwash Free & Clear Dishwasher Detergent Liquid, Light Pear Scent, 16 oz., (65732)	Dawn Ultra Platinum Powerwash Free & Clear Dish Soap Spray, Light Pear Scent, 16 oz. (65732)	65732	8.39	0	1	0	Cancelled	dawn-ultra-platinum-powerwash-free-clear-dishwasher-detergent-liquid-light-pear-scent-16-oz-65732/product_24528368	True	False	False
9919673619	2024-03-03T17:18:48	SALES	WEB	3025391875	Cancelled	0	0	0					24562505	Dawn Platinum Dish Soap, Refreshing Rain, 54.8 fl. oz., 2/Pack (04504)	Dawn Platinum Liquid Dish Soap, Refreshing Rain, 54.8 oz., 2/Pack (04504)	04504	27.79	0	1	0	Cancelled	dawn-platinum-dish-soap-refreshing-rain-54-8-fl-oz-2-pack-04504/product_24562505	False	False	True
9983341929	2024-03-06T23:10:10	SALES	WEB	3025391875	Delivered	250.87	21778	10400					24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,800 Pages, 3/Pack (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK	218.49	2	2	229.34	Delivered	brother-tn-431-cyan-magenta-yellow-standard-yield-toner-cartridge-up-to-1-800-pages-3-pack-tn4313pk/product_24401678	False	False	True
