Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
POS.542.20251004.4.23366	2025-10-04T15:05:10	Sales	Sales	3025391875	Purchased at store	40.98	8040	2000	542	25 W Central Ave	BERGENFIELD	NJ	865670	Green Mountain Dark Magic Coffee Keurig	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061	76.99	2	2	0	Purchased at store	green-mountain-dark-magic-coffee-keurig-k-cup-pods-dark-roast-96-carton-4061/product_865670	False	False	True
POS.542.20251004.4.23361	2025-10-04T14:41:08	Sales	Sales	3025391875	Purchased at store	0	2400	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20251004.4.23360	2025-10-04T14:40:43	Sales	Sales	3025391875	Purchased at store	0	8600	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20251004.4.23359	2025-10-04T14:40:14	Sales	Sales	3025391875	Purchased at store	0	0	0	542	25 W Central Ave	BERGENFIELD	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
POS.542.20251004.4.23358	2025-10-04T14:39:50	Sales	Sales	3025391875	Purchased at store	0	500	0	542	25 W Central Ave	BERGENFIELD	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.542.20250921.4.21091	2025-09-21T12:51:07	Sales	Sales	3025391875	Purchased at store	0.96	0	10800	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	4	4	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.542.20250921.4.21090	2025-09-21T12:49:21	Sales	Sales	3025391875	Purchased at store	0.96	0	10800	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	4	4	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.542.20250921.4.21089	2025-09-21T12:48:08	Sales	Sales	3025391875	Purchased at store	0.96	0	10800	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	4	4	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.542.20250921.4.21088	2025-09-21T12:47:41	Sales	Sales	3025391875	Purchased at store	0.96	0	10800	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	4	4	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.542.20250921.4.21087	2025-09-21T12:47:13	Sales	Sales	3025391875	Purchased at store	0.96	0	10800	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	4	4	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
