Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
POS.542.20251004.4.23369	2025-10-04T15:09:32	Sales	Sales	3301279182	Purchased at store	40.98	8040	2000	542	25 W Central Ave	BERGENFIELD	NJ	865670	Green Mountain Dark Magic Coffee Keurig	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061	76.99	2	2	0	Purchased at store	green-mountain-dark-magic-coffee-keurig-k-cup-pods-dark-roast-96-carton-4061/product_865670	False	False	True
POS.542.20250913.4.19705	2025-09-13T18:07:58	Sales	Sales	3301279182	Purchased at store	60.96	3180	600	542	25 W Central Ave	BERGENFIELD	NJ	901974	EVIAN 1LITER 12PK	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000	35.19	4	4	0	Purchased at store	evian-water-1-liter-pack-of-12-evi10000/product_901974	False	False	True
POS.542.20250913.2.53950	2025-09-13T13:41:23	Sales	Sales	3301279182	Purchased at store	0	14200	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250913.2.53949	2025-09-13T13:40:59	Sales	Sales	3301279182	Purchased at store	0	14200	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250913.2.53948	2025-09-13T13:40:40	Sales	Sales	3301279182	Purchased at store	0	1000	0	542	25 W Central Ave	BERGENFIELD	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
POS.542.20250913.2.53947	2025-09-13T13:40:21	Sales	Sales	3301279182	Purchased at store	0	1000	0	542	25 W Central Ave	BERGENFIELD	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.542.20250824.2.50225	2025-08-24T18:21:14	Sales	Sales	3301279182	Purchased at store	0.49	0	6000	542	25 W Central Ave	BERGENFIELD	NJ	750834	SCOTCH HD TAPE 18P	"Scotch Heavy Duty Packing Tape, 1.88"" x 54.6 yds., Clear, 18/Pack (385018CP)"	385018CP	97.59	1	1	0	Purchased at store	scotch-heavy-duty-packing-tape-1-88-x-54-6-yds-clear-18-pack-385018cp/product_750834	False	False	True
POS.542.20250824.3.46059	2025-08-24T16:41:47	Sales	Sales	3301279182	Purchased at store	0	14200	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250824.3.46058	2025-08-24T16:41:29	Sales	Sales	3301279182	Purchased at store	0	14200	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250824.3.46057	2025-08-24T16:41:08	Sales	Sales	3301279182	Purchased at store	0	0	0	542	25 W Central Ave	BERGENFIELD	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
