Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
POS.542.20251004.4.23365	2025-10-04T15:03:17	Sales	Sales	3439231444	Purchased at store	40.98	8040	2000	542	25 W Central Ave	BERGENFIELD	NJ	865670	Green Mountain Dark Magic Coffee Keurig	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061	76.99	2	2	0	Purchased at store	green-mountain-dark-magic-coffee-keurig-k-cup-pods-dark-roast-96-carton-4061/product_865670	False	False	True
POS.542.20250913.4.19708	2025-09-13T18:23:53	Sales	Sales	3439231444	Purchased at store	0.31	0	4200	542	25 W Central Ave	BERGENFIELD	NJ	24386293	2 PCKT HD PLYPORT	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Orange (ST55474-CC)	ST55474-CC	5.39	1	1	0	Purchased at store	staples-2-pocket-plastic-portfolio-folder-with-fasteners-orange-st55474-cc/product_24386293	False	True	True
POS.542.20250913.4.19708	2025-09-13T18:23:53	Sales	Sales	3439231444	Purchased at store	0.31	0	4200	542	25 W Central Ave	BERGENFIELD	NJ	24392195	8IN TITANIUM LITE	"Westcott 8"" Titanium Multi-Purpose/Heavy Duty Scissor, Blunt Tip, Navy (17509)"	17509	5.31	2	2	0	Purchased at store	westcott-8-titanium-multi-purpose-heavy-duty-scissor-blunt-tip-navy-17509/product_24392195	False	False	True
POS.542.20250913.4.19708	2025-09-13T18:23:53	Sales	Sales	3439231444	Purchased at store	0.31	0	4200	542	25 W Central Ave	BERGENFIELD	NJ	901974	EVIAN 1LITER 12PK	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000	35.19	1	1	0	Purchased at store	evian-water-1-liter-pack-of-12-evi10000/product_901974	False	False	True
POS.542.20250913.4.19706	2025-09-13T18:11:10	Sales	Sales	3439231444	Purchased at store	60.96	63	0	542	25 W Central Ave	BERGENFIELD	NJ	901974	EVIAN 1LITER 12PK	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000	35.19	4	4	0	Purchased at store	evian-water-1-liter-pack-of-12-evi10000/product_901974	False	False	True
POS.542.20250913.4.19629	2025-09-13T13:46:08	Sales	Sales	3439231444	Purchased at store	0	0	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250913.4.19628	2025-09-13T13:45:51	Sales	Sales	3439231444	Purchased at store	0	2000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250913.4.19627	2025-09-13T13:45:33	Sales	Sales	3439231444	Purchased at store	0	17000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250913.4.19626	2025-09-13T13:45:10	Sales	Sales	3439231444	Purchased at store	0	0	0	542	25 W Central Ave	BERGENFIELD	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.542.20250913.4.19625	2025-09-13T13:44:47	Sales	Sales	3439231444	Purchased at store	0	1000	0	542	25 W Central Ave	BERGENFIELD	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
