Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
POS.39.20250913.3.3459	2025-09-13T13:10:43	Sales	Sales	5061348487	Purchased at store	0	8600	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.39.20250913.3.3458	2025-09-13T13:10:12	Sales	Sales	5061348487	Purchased at store	0	8600	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.39.20250913.3.3457	2025-09-13T13:09:37	Sales	Sales	5061348487	Purchased at store	0	500	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
POS.39.20250913.3.3456	2025-09-13T13:09:08	Sales	Sales	5061348487	Purchased at store	0	500	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.567.20250906.2.23601	2025-09-06T10:25:05	Sales	Sales	5061348487	Purchased at store	0.97	0	9800	567	1300 Rt. 17 North	RAMSEY	NJ	102400	CHARM ULTR STRNG 1	Charmin Ultra Strong Mega Toilet Paper, 2-ply, White, 220 Sheets/Roll, 18 Rolls/Case (11055/15704)	11055/15704	23.99	1	1	0	Purchased at store	charmin-ultra-strong-toilet-paper-18-mega-rolls-242-sheets-roll-01560-52084/product_102400	False	True	True
POS.567.20250906.2.23601	2025-09-06T10:25:05	Sales	Sales	5061348487	Purchased at store	0.97	0	9800	567	1300 Rt. 17 North	RAMSEY	NJ	102400	CHARM ULTR STRNG 1	Charmin Ultra Strong Mega Toilet Paper, 2-ply, White, 220 Sheets/Roll, 18 Rolls/Case (11055/15704)	11055/15704	23.99	1	1	0	Purchased at store	charmin-ultra-strong-toilet-paper-18-mega-rolls-242-sheets-roll-01560-52084/product_102400	False	True	True
POS.567.20250906.2.23601	2025-09-06T10:25:05	Sales	Sales	5061348487	Purchased at store	0.97	0	9800	567	1300 Rt. 17 North	RAMSEY	NJ	102400	CHARM ULTR STRNG 1	Charmin Ultra Strong Mega Toilet Paper, 2-ply, White, 220 Sheets/Roll, 18 Rolls/Case (11055/15704)	11055/15704	23.99	1	1	0	Purchased at store	charmin-ultra-strong-toilet-paper-18-mega-rolls-242-sheets-roll-01560-52084/product_102400	False	True	True
POS.542.20250824.2.50220	2025-08-24T17:59:07	Sales	Sales	5061348487	Purchased at store	0	8000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250824.2.50219	2025-08-24T17:58:44	Sales	Sales	5061348487	Purchased at store	0	8600	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250824.2.50218	2025-08-24T17:58:13	Sales	Sales	5061348487	Purchased at store	0	0	0	542	25 W Central Ave	BERGENFIELD	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.542.20250824.2.50217	2025-08-24T17:57:44	Sales	Sales	5061348487	Purchased at store	0	500	0	542	25 W Central Ave	BERGENFIELD	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
POS.542.20250726.4.9737	2025-07-26T15:29:51	Sales	Sales	5061348487	Purchased at store	50.97	2150	0	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	3	3	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.542.20250713.4.7412	2025-07-13T16:30:42	Sales	Sales	5061348487	Purchased at store	72.96	3672	0	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	4	4	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.522.20250707.3.65027	2025-07-07T09:34:37	Sales	Sales	5061348487	Purchased at store	0	2400	0	522	466 Hackensack Ave	HACKENSACK	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.522.20250707.3.65026	2025-07-07T09:33:54	Sales	Sales	5061348487	Purchased at store	0	8600	0	522	466 Hackensack Ave	HACKENSACK	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.522.20250707.3.65025	2025-07-07T09:32:23	Sales	Sales	5061348487	Purchased at store	0	0	0	522	466 Hackensack Ave	HACKENSACK	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.522.20250707.3.65024	2025-07-07T09:31:48	Sales	Sales	5061348487	Purchased at store	0	500	0	522	466 Hackensack Ave	HACKENSACK	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
