Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
POS.542.20251004.4.23368	2025-10-04T15:08:45	Sales	Sales	2148568054	Purchased at store	40.98	8040	2000	542	25 W Central Ave	BERGENFIELD	NJ	865670	Green Mountain Dark Magic Coffee Keurig	Green Mountain Dark Magic Coffee Keurig® K-Cup® Pods, Dark Roast, 96/Carton (4061)	4061	76.99	2	2	0	Purchased at store	green-mountain-dark-magic-coffee-keurig-k-cup-pods-dark-roast-96-carton-4061/product_865670	False	False	True
POS.542.20250913.4.19704	2025-09-13T18:03:13	Sales	Sales	2148568054	Purchased at store	60.96	3180	600	542	25 W Central Ave	BERGENFIELD	NJ	901974	EVIAN 1LITER 12PK	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000	35.19	4	4	0	Purchased at store	evian-water-1-liter-pack-of-12-evi10000/product_901974	False	False	True
POS.39.20250913.2.60704	2025-09-13T13:12:56	Sales	Sales	2148568054	Purchased at store	0	2400	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.39.20250913.2.60703	2025-09-13T13:12:27	Sales	Sales	2148568054	Purchased at store	0	8600	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.39.20250913.2.60702	2025-09-13T13:11:47	Sales	Sales	2148568054	Purchased at store	0	0	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	24535465	BATTERIES RECYCLIN	BATTERIES RECYCLIN		0.01	1	1	0	Purchased at store		False	False	True
POS.39.20250913.2.60701	2025-09-13T13:11:10	Sales	Sales	2148568054	Purchased at store	0	1000	0	39	501 Route 17 SOUTH, STE 1	PARAMUS	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
POS.542.20250824.2.50188	2025-08-24T16:20:56	Sales	Sales	2148568054	Purchased at store	0.23	0	800	542	25 W Central Ave	BERGENFIELD	NJ	491831	8-TAB INSERT POLY	8-TAB INSERT POLY		4.96	1	1	0	Purchased at store		True	False	False
POS.542.20250824.2.50188	2025-08-24T16:20:56	Sales	Sales	2148568054	Purchased at store	0.23	0	800	542	25 W Central Ave	BERGENFIELD	NJ	24626384	FIVESTAR POLY COMP	FIVESTAR POLY COMP		4.99	1	1	0	Purchased at store		True	False	False
POS.542.20250824.2.50188	2025-08-24T16:20:56	Sales	Sales	2148568054	Purchased at store	0.23	0	800	542	25 W Central Ave	BERGENFIELD	NJ	126465	STPLS FLLR RNFRCD	"Staples Wide Ruled Filler Paper, 8"" x 10.5"", White, 100 Sheets/Pack (ST23904G)"	ST23904G	3.99	1	1	0	Purchased at store	staples-wide-ruled-filler-paper-8-x-10-5-white-100-sheets-pack-tr23904/product_126465	False	True	False
POS.542.20250824.2.50188	2025-08-24T16:20:56	Sales	Sales	2148568054	Purchased at store	0.23	0	800	542	25 W Central Ave	BERGENFIELD	NJ	24424014	TR PREM 3SUBNB 8X1	TR PREM 3SUBNB 8X1		5.99	1	1	0	Purchased at store		True	False	False
POS.542.20250824.2.50188	2025-08-24T16:20:56	Sales	Sales	2148568054	Purchased at store	0.23	0	800	542	25 W Central Ave	BERGENFIELD	NJ	912462	STPLS COMP ASST CO	"Staples 1-Subject Composition Notebook, 7.5"" x 9.75"", Wide Ruled, 100 Sheets, Color chosen at random (ST55077C)"	ST55077C	1.99	1	1	0	Purchased at store	staples-composition-notebook-7-5-x-9-75-wide-ruled-100-sheets-assorted-colors-st55077/product_912462	False	True	True
POS.542.20250824.2.50188	2025-08-24T16:20:56	Sales	Sales	2148568054	Purchased at store	0.23	0	800	542	25 W Central Ave	BERGENFIELD	NJ	2097860	FIVE STAR ADV STAY	Five Star 2-Pocket Fastener Folder, Assorted Colors (34030)	34030	3.79	1	1	0	Purchased at store	five-star-2-pocket-fastener-folder-assorted-colors-34030/product_2097860	False	True	False
POS.542.20250824.2.50165	2025-08-24T14:30:54	Sales	Sales	2148568054	Purchased at store	0	2400	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
POS.542.20250824.2.50164	2025-08-24T14:30:15	Sales	Sales	2148568054	Purchased at store	0	8600	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	20	20	0	Purchased at store		True	False	False
