Order Number	Order Date	Order Type	Order Channel	Customer Number	Order Status	Grand Total	Points Issued	Points Redeemed	Store Number	Store Address	Store City	Store State	Product SKU	Product Name	Product Description	Model	Unit Price	Quantity	Original Quantity	Line Total	Line Status	Product URL	Out of Stock	BOPIS Eligible	Delivery In Stock
POS.542.20250705.4.6110	2025-07-05T18:23:05	Sales	Sales	3439231444	Purchased at store	0.02	0	12200	542	25 W Central Ave	BERGENFIELD	NJ	2440104	CloroxPro Tilex Disinfecting Instant Mo	CloroxPro Tilex Disinfecting Instant Mold and Mildew Remover Spray, 32 Fluid Ounces, Pack of 9 (35600)	35600CT	101.89	1	1	0	Purchased at store	tilex-cloroxpro-disinfecting-instant-mold-mildew-remover-unscented-32-oz-9-carton-35600ct/product_2440104	False	False	True
POS.542.20250705.4.6106	2025-07-05T18:01:12	Sales	Sales	3439231444	Purchased at store	0.25	0	10200	542	25 W Central Ave	BERGENFIELD	NJ	2091512	KCUP DUNKIN ORIG 4	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 44/Box (006933)	5000380570	38.99	6	6	0	Purchased at store	dunkin-original-blend-coffee-keurig-k-cup-pods-medium-roast-44-box-006933/product_2091512	False	True	True
POS.542.20250601.4.436	2025-06-01T17:15:43	Sales	Sales	3439231444	Purchased at store	0.04	0	11000	542	25 W Central Ave	BERGENFIELD	NJ	901974	EVIAN 1LITER 12PK	Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)	EVI10000	35.19	4	4	0	Purchased at store	evian-water-1-liter-pack-of-12-evi10000/product_901974	False	False	True
POS.542.20250601.4.418	2025-06-01T16:35:00	Sales	Sales	3439231444	Purchased at store	0	0	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	10	10	0	Purchased at store		True	False	False
POS.542.20250601.4.417	2025-06-01T16:34:44	Sales	Sales	3439231444	Purchased at store	0	15000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	10	10	0	Purchased at store		True	False	False
POS.542.20250601.4.416	2025-06-01T16:34:28	Sales	Sales	3439231444	Purchased at store	0	15000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	10	10	0	Purchased at store		True	False	False
POS.542.20250601.4.415	2025-06-01T16:34:03	Sales	Sales	3439231444	Purchased at store	0	15000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	10	10	0	Purchased at store		True	False	False
POS.542.20250601.4.414	2025-06-01T16:33:48	Sales	Sales	3439231444	Purchased at store	0	9000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	10	10	0	Purchased at store		True	False	False
POS.542.20250601.4.413	2025-06-01T16:33:33	Sales	Sales	3439231444	Purchased at store	0	9000	0	542	25 W Central Ave	BERGENFIELD	NJ	725137	INK RECYCLING LIMI	INK RECYCLING LIMI		0.01	10	10	0	Purchased at store		True	False	False
POS.542.20250601.4.410	2025-06-01T16:32:27	Sales	Sales	3439231444	Purchased at store	0	1000	0	542	25 W Central Ave	BERGENFIELD	NJ	690307	OTHER TECHNOLOGY R	OTHER TECHNOLOGY R		0.01	1	1	0	Purchased at store		True	False	False
